215;0.005
216;0.005
2161;2500
21628;500
217;0.005
22;16
222;0.005
22428;50000
22430;50000
22436;50000
22440;50000
22442;15000
22444;15000
22446;15000
22448;15000
22452;5000
22460;5000
22464;5000
22466;15000
22468;15000
22470;15000
22474;15000
22544;3750
22546;3750
22548;3750
2267;0.01
2268;0.1
2270;0.01
2272;0.1
22852;1000000
2286;0.01
2287;0.1
2288;0.1
230;0.025
23025;0.025
2305;0.01
23057;5000
2306;0.01
2307;0.01
2308;0.01
2309;0.01
2310;0.01
2311;0.01
2329;1.5
2348;6
2349;6
2367;6
237;0.05
23757;1000000
23773;10000000
238;0.05
23911;1000000
23913;1000000
23915;1000000
23917;1000000
23919;1000000
2393;0.38
2395;0.38
2396;0.38
2399;0.38
2400;0.38
2401;0.38
24427;5
24471;0.005
24483;1000000
24493;0.015
24495;0.015
2463;1.5
24688;50000
24690;50000
24692;50000
24694;50000
24696;15000
24698;15000
24700;15000
24702;15000
25594;0.01
2629;0.03
266;0.005
2679;0.015
26840;50000
26842;50000
27920;75
2834;2500
28352;1000000
2836;10000
28408;750
28606;500000
2863;20000
28659;50000
28661;50000
28665;50000
28710;50000
28844;1000000
28846;1000000
28848;1000000
28850;1000000
28974;6
29248;2500
29266;500
29336;10000
29337;10000
29340;10000
29344;10000
2998;20000
29984;10000
29986;5000
29988;5000
29990;5000
30248;0.01
30377;10
30842;500
32207;2500
32209;10000
32305;50000
32307;50000
32309;50000
32311;50000
32788;2500
32790;10000
32811;20000
32840;5000
32842;5000
32844;5000
32846;5000
32848;5000
32872;5000
32874;5000
32876;5000
32878;5000
32880;2500
32983;2500
32985;2500
32987;2500
32989;2500
33079;2500
33081;2500
33083;2500
33099;5000
33151;15000
33153;15000
33155;15000
33157;15000
33190;2500
33360;1
33818;10000
34;0.01
35;0.01
3514;1000000
3516;2500
3518;10000
3532;2500
3573;4000
36;0.01
3645;0.25
3683;1
3685;1
3687;1
3689;1
37;0.01
3721;5
3756;15000
3764;10000000
3766;2500
38;0.01
3828;4
3841;20
39;0.01
40;0.01
4005;50000
4051;5
4246;5
4247;5
4302;15000
4306;15000
4308;15000
4310;15000
4312;5
4363;20000
4388;20000
44;1
582;2500
583;2500
5839;5
584;2500
585;2500
586;2500
587;2500
588;2500
589;2500
590;2500
591;2500
592;2500
593;2500
594;2500
596;2500
597;2500
598;2500
599;2500
601;2500
602;2500
603;2500
605;2500
606;2500
607;2500
608;2500
609;2500
617;2500
620;10000
621;10000
622;10000
623;10000
624;10000
625;10000
626;10000
627;10000
628;10000
629;10000
630;10000
631;10000
632;10000
633;10000
634;10000
638;50000
639;50000
640;50000
641;50000
642;50000
643;50000
644;50000
645;50000
648;20000
649;20000
650;20000
651;20000
652;20000
653;20000
654;20000
655;20000
656;20000
657;20000
671;10000000
672;500
9828;0.5
9832;1.5
9834;2
9836;2
9846;2
9848;6
9850;0.2
17460;0.3
2508;0.1
2510;0.1
267;0.1
2506;0.1
27359;0.1
27351;0.1
27339;0.1
27345;0.1
14343;4000
21740;0.05
27447;0.03
27453;0.03
27435;0.03
27441;0.03
27413;0.015
20307;0.015
27387;0.015
27381;0.015
27361;0.015
27371;0.015
27429;0.05
27423;0.05
27377;0.05
27395;0.05
9840;2
